IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.14751651082449105,0.1475543847132412,0.09902631280955554,0.15059927738329795,0.20102315311640875,0.1514729780410656,0.10280738311193999,min_risk,0.00015141892947347397,0.05090949934448233
1.3536373702595086e-16,5.828670879282072e-16,0.9999999999999998,0.0,0.0,0.0,9.438188216797662e-17,max_return,0.00039605804039656903,0.10215245035509243
0.16244725871481416,0.17034047024813623,0.13189455388486845,0.12845355713521872,0.1765839650895764,0.13968015238342008,0.09060004254396599,k=1,0.00017412163391148966,0.05556794943633339
0.17718003020272935,0.19333744333199623,0.16472517186415903,0.10642282687438524,0.1520818301829276,0.1278009571754013,0.07845174036840125,k=2,0.00019917578446621616,0.06022639952825201
0.19198094495610024,0.2163226287738817,0.1975204221869184,0.08435126973352619,0.12760071842341614,0.1159621414652496,0.0662618744609076,k=3,0.00022579078046711492,0.06488484962008997
0.2067818634605235,0.23930781527521625,0.2303156695033746,0.06227971095152582,0.10311960822312702,0.10412332336364091,0.054072009222591984,k=4,0.00025461048958265084,0.06954329971199924
0.22158277873820126,0.26229300168917546,0.263110919156821,0.040208155185020994,0.07863849685572571,0.09228450675292713,0.04188214162212859,k=5,0.00028563491044393297,0.07420174980386604
0.23638368967500986,0.2852781880469557,0.2959061704259255,0.01813659434834657,0.054157385785039036,0.08044569355505747,0.029692278163665747,k=6,0.00031886404019224035,0.07886019989569384
0.2509701674308168,0.3083460087856306,0.32915915811517804,6.691560283308973e-20,0.027938102161536648,0.06735325343501243,0.016233310071825456,k=7,0.0003549887603719953,0.0835186499875788
0.2623011851347823,0.33195034140124485,0.3675544650702492,6.968043320788424e-19,1.3300179100733284e-20,0.03819400839372373,0.0,k=8,0.0003967744270673229,0.08817710007947499
0.1749936699682117,0.3388300089120867,0.4861763211197016,0.0,1.553670727429413e-17,5.851907858705248e-18,1.3672114516952559e-17,k=9,0.0004121457493676813,0.09283555017134514
0.001490763055965771,0.3287749061975033,0.6697343307465311,0.0,1.9142183260112204e-17,1.7847636342208685e-17,0.0,k=10,0.00043314510024186414,0.09749400026321879
